Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
RTAI,5543,0,0.00,0,0.00,27.99,5543,0
OILK,5483,400,67.50,20,56.00,63.50,5483,0
EPRF,5450,206,25.00,6,24.09,24.35,5450,0
FRDM,5388,100,50.00,19,33.77,34.15,5388,0
PTNQ,5350,0,0.00,4,51.00,54.31,5220,130
FBCG,5207,100,31.70,17,29.00,31.09,5207,0
DFNV,5144,0,0.00,0,0.00,27.88,5144,0
BJUN,5053,0,0.00,100,21.31,32.30,4952,101
FLIA,5000,0,0.00,0,0.00,25.10,5000,0
DIVB,4934,50,150.00,100,38.82,39.08,4894,40
DUDE,4902,0,0.00,0,0.00,27.10,4902,0
QVAL,4803,0,0.00,5,33.00,33.53,4803,0
NULV,4774,5,42.00,0,0.00,37.83,4774,0
NURE,4605,0,0.00,35,33.05,34.59,4605,0
GTIP,4604,12,59.03,13,55.12,57.12,4604,0
DDWM,4582,0,0.00,2,27.50,31.59,4582,0
IQDG,4454,5,42.00,0,0.00,40.55,2854,1600
MLN,4398,10,22.55,100,21.00,21.93,4398,0
VCEB,4339,75,85.55,0,0.00,73.88,3974,365
BBIN,4219,0,0.00,0,0.00,61.82,4219,0
PJUL,4007,0,0.00,0,0.00,29.65,4007,0
SHAG,3983,0,0.00,4,49.97,51.08,3983,0
MSTB,3940,0,0.00,0,0.00,30.15,3940,0
DFNL,3924,0,0.00,0,0.00,30.61,3924,0
OGIG,3896,5,55.99,3,52.65,53.98,3896,0
BJAN,3816,0,0.00,0,0.00,35.60,3816,0
XVV,3801,0,0.00,5,28.00,32.28,3130,671
FMAY,3660,0,0.00,0,0.00,35.83,1200,2460
XDQQ,3626,0,0.00,0,0.00,27.50,3626,0
FJAN,3439,0,0.00,0,0.00,32.51,3439,0
OUSA,3342,4,41.74,3,41.30,41.48,3342,0
FMAR,3300,0,0.00,0,0.00,31.33,3300,0
PSMB,3250,0,0.00,59,16.50,16.50,3250,0
QMOM,3211,10,53.80,0,0.00,49.31,1647,1564
TFIV,3191,0,0.00,0,0.00,24.67,3191,0
STLC,3158,0,0.00,0,0.00,40.27,3158,0
VXZ,3142,5,26.50,0,0.00,25.96,3007,135
IGRO,3047,2,71.00,12,67.18,69.26,3047,0
UJAN,3000,0,0.00,0,0.00,30.88,3000,0
MEAR,2958,0,0.00,100,47.50,50.17,2558,400
REGL,2919,191,73.00,120,68.75,72.65,2919,0
XMPT,2818,0,0.00,10,29.16,29.64,2818,0
OEUR,2808,0,0.00,48,28.40,28.40,2808,0
BSEP,2786,0,0.00,0,0.00,31.60,2786,0
BBRE,2784,0,0.00,2,92.00,97.70,2784,0
BMAY,2763,0,0.00,0,0.00,30.71,2510,253
GSST,2700,0,0.00,100,49.01,50.72,2700,0
KJUL,2623,0,0.00,0,0.00,26.60,2623,0
LVHI,2615,0,0.00,3,23.40,26.26,2615,0
EFNL,2538,24,54.95,0,0.00,50.00,2538,0
MPRO,2526,0,0.00,0,0.00,26.70,2526,0
SYLD,2433,0,0.00,2,58.05,65.44,2433,0
FMIL,2372,0,0.00,200,29.26,29.54,2372,0
IBHC,2372,0,0.00,0,0.00,24.64,2034,338
DAPR,2258,0,0.00,0,0.00,30.28,2158,100
DRSK,2219,0,0.00,0,0.00,29.28,1819,400
PMAY,2213,0,0.00,0,0.00,29.24,2213,0
MSVX,2100,100,28.99,0,0.00,25.64,2100,0
MOTI,2082,0,0.00,0,0.00,36.85,2082,0
SMDV,2069,0,0.00,5,48.25,67.12,2069,0
IBML,2057,0,0.00,0,0.00,26.09,2057,0
BAPR,2020,0,0.00,0,0.00,31.38,2020,0
USEP,2012,0,0.00,0,0.00,28.02,2012,0
DWLD,2010,5,38.00,5,33.00,33.68,2010,0
FLV,2006,0,0.00,3,58.00,61.11,2006,0
FFEB,1924,0,0.00,0,0.00,35.96,1924,0
RSXJ,1920,0,0.00,100,37.00,37.05,1920,0
IMFL,1875,0,0.00,0,0.00,27.53,1875,0
IYLD,1812,0,0.00,8,19.50,24.12,1812,0
SVAL,1780,0,0.00,25,30.00,31.98,1343,437
EMTL,1778,0,0.00,10,49.76,50.69,1178,600
VFVA,1765,0,0.00,2,94.00,102.08,1765,0
IBMN,1733,0,0.00,0,0.00,28.04,1733,0
STOT,1711,0,0.00,0,0.00,49.62,1711,0
POCT,1695,0,0.00,0,0.00,28.98,1695,0
TSJA,1660,0,0.00,0,0.00,28.10,1660,0
GCOW,1653,0,0.00,20,31.53,32.27,1653,0
LKOR,1653,0,0.00,99,56.83,59.60,1653,0
CEFS,1643,8000,21.50,94,21.14,21.33,1643,0
NUEM,1636,0,0.00,0,0.00,36.31,1636,0
TTAI,1629,0,0.00,0,0.00,36.06,1629,0
EDEN,1622,0,0.00,1,96.32,108.67,1622,0
NUDM,1618,0,0.00,0,0.00,32.56,1618,0
DFEB,1611,0,0.00,0,0.00,34.02,1611,0
OUSM,1595,0,0.00,0,0.00,35.33,34,1561
IBHB,1547,0,0.00,100,18.70,24.21,902,645
FBCV,1545,0,0.00,350,27.84,28.56,1408,137
ISVL,1502,0,0.00,0,0.00,36.87,1387,115
SLT,1437,0,0.00,0,0.00,41.04,1437,0
FLHY,1432,0,0.00,500,26.36,26.49,1232,200
FMAG,1423,0,0.00,400,21.00,21.42,1422,1
DINT,1415,1,28.25,0,0.00,22.96,1215,200
NUMV,1415,0,0.00,0,0.00,36.53,1415,0
RESE,1400,0,0.00,0,0.00,39.52,0,1400
TMFC,1387,20,39.00,1,37.75,38.21,1387,0
BUFD,1386,0,0.00,0,0.00,20.67,1386,0
LUXE,1378,0,0.00,100,30.80,31.07,1378,0
IBHD,1361,0,0.00,20,24.55,24.75,1361,0
IDHD,1330,2,28.16,0,0.00,28.00,1330,0
DEFA,1300,0,0.00,0,0.00,33.82,600,700
PAUG,1300,0,0.00,0,0.00,29.27,1300,0
BFEB,1278,0,0.00,0,0.00,30.25,1278,0
DDLS,1273,0,0.00,0,0.00,35.27,1273,0
JEMA,1220,0,0.00,0,0.00,50.51,1120,100
NUMG,1216,4,56.00,0,0.00,52.12,1216,0
OMFS,1200,0,0.00,5,41.00,41.45,1200,0
DMAY,1199,0,0.00,0,0.00,33.54,1199,0
FDEC,1191,0,0.00,0,0.00,33.01,1191,0
EGIS,1176,0,0.00,100,31.50,31.86,1176,0
IGEB,1169,0,0.00,0,0.00,53.70,1169,0
IEHS,1139,0,0.00,10,39.14,40.56,1139,0
BOSS,1134,0,0.00,0,0.00,33.90,1134,0
UNOV,1114,0,0.00,0,0.00,29.11,1114,0
EYLD,1109,0,0.00,1,37.85,39.23,1109,0
PJAN,1103,0,0.00,0,0.00,32.27,1103,0
HSRT,1102,0,0.00,200,39.27,41.12,1102,0
DBOC,1101,0,0.00,0,0.00,28.59,1101,0
FOMO,1058,1,33.00,75,26.01,26.03,1058,0
GOVZ,1054,2,20.77,0,0.00,20.29,664,390
TOKE,1037,2,20.25,6,18.05,18.09,1037,0
FLQM,1035,0,0.00,0,0.00,43.52,1035,0
ESHY,1030,0,0.00,15,21.01,21.23,730,300
EFAD,1028,0,0.00,0,0.00,46.62,1028,0
FOCT,1025,0,0.00,0,0.00,33.86,1025,0
ATMP,1010,0,0.00,0,0.00,17.26,1010,0
IVAL,1001,0,0.00,8200,27.91,29.67,1001,0
JCPB,996,0,0.00,100,50.01,54.43,996,0
GMOM,983,0,0.00,0,0.00,30.43,983,0
BAUG,966,0,0.00,0,0.00,31.42,966,0
MAGA,951,10,37.00,100,34.00,36.53,951,0
HYDB,938,100,51.85,3,51.12,51.60,938,0
PFEB,929,0,0.00,0,0.00,28.34,929,0
SMB,927,0,0.00,1100,8.26,18.09,927,0
BUYZ,911,24,50.65,23,43.51,50.38,911,0
PBEE,907,0,0.00,0,0.00,30.65,907,0
FJUL,900,0,0.00,0,0.00,34.44,900,0
UMAR,900,0,0.00,0,0.00,29.00,900,0
XJH,884,0,0.00,0,0.00,37.17,759,125
PBSM,878,0,0.00,0,0.00,40.75,878,0
IGLD,856,0,0.00,100,14.94,20.81,856,0
IBMM,836,0,0.00,0,0.00,27.00,836,0
UJUN,835,0,0.00,0,0.00,28.45,735,100
BUFF,826,143,34.73,0,0.00,34.67,826,0
DURA,821,0,0.00,0,0.00,31.25,771,50
BGLD,817,0,0.00,0,0.00,19.80,817,0
MINN,801,0,0.00,0,0.00,25.32,801,0
IBHE,788,0,0.00,0,0.00,25.06,630,158
PSMG,783,0,0.00,0,0.00,18.25,783,0
IETC,781,0,0.00,52,52.00,52.84,781,0
TCTL,772,0,0.00,0,0.00,32.78,772,0
ALFA,770,4,85.00,3,69.00,79.22,770,0
FCTR,769,0,0.00,0,0.00,34.48,569,200
TRTY,764,0,0.00,0,0.00,28.30,764,0
IQM,733,8,47.00,0,0.00,45.48,733,0
XSHQ,732,1,38.94,1,28.00,37.02,732,0
IECS,730,0,0.00,0,0.00,32.54,724,6
HYIN,726,228,100.00,3,24.70,25.94,726,0
XVZ,717,9,40.09,0,0.00,37.95,717,0
TILT,714,0,0.00,1,159.00,168.95,714,0
PTEU,711,0,0.00,0,0.00,25.53,711,0
DSJA,710,0,0.00,0,0.00,28.30,710,0
AGT,702,60,35.80,10,19.95,27.23,702,0
TSOC,700,0,0.00,0,0.00,30.09,700,0
NJUL,667,0,0.00,0,0.00,46.13,667,0
QDEC,657,0,0.00,0,0.00,21.48,657,0
FSMO,655,0,0.00,0,0.00,22.78,655,0
PBTP,653,0,0.00,0,0.00,26.50,653,0
ACIO,650,0,0.00,0,0.00,29.87,650,0
MFMS,650,137,39.07,50,36.38,38.38,650,0
GAA,640,0,0.00,20,31.00,33.02,640,0
XJR,629,0,0.00,0,0.00,40.27,4,625
DFHY,608,0,0.00,0,0.00,25.01,608,0
BMAR,600,0,0.00,1,4.77,32.52,600,0
EMSH,600,0,0.00,100,62.00,73.52,600,0
FUNL,600,0,0.00,0,0.00,33.98,600,0
PSMD,600,0,0.00,0,0.00,22.07,600,0
ROMO,597,0,0.00,0,0.00,27.75,597,0
IPFF,595,100,24.50,100,16.99,17.51,113,482
ENOR,571,0,0.00,0,0.00,29.09,571,0
UFEB,500,0,0.00,0,0.00,27.31,500,0
NAPR,477,0,0.00,0,0.00,37.01,477,0
GVAL,476,49,24.26,5,23.00,24.00,476,0
TDV,462,0,0.00,3,54.00,58.82,462,0
PBUS,457,0,0.00,100,41.50,42.99,457,0
KAPR,456,0,0.00,0,0.00,27.72,456,0
WUGI,448,92,58.00,5,47.80,53.87,448,0
VAMO,426,0,0.00,0,0.00,24.82,426,0
TTAC,422,0,0.00,0,0.00,52.24,422,0
BDEC,409,0,0.00,0,0.00,32.91,409,0
XBAP,405,0,0.00,0,0.00,26.34,405,0
DALT,401,0,0.00,0,0.00,10.48,401,0
DAUG,400,0,0.00,0,0.00,34.28,400,0
EOPS,400,0,0.00,0,0.00,26.96,400,0
PNOV,400,0,0.00,0,0.00,30.14,400,0
HYHG,382,0,0.00,0,0.00,62.70,382,0
UJUL,381,0,0.00,0,0.00,26.94,381,0
TMDV,373,0,0.00,0,0.00,48.35,373,0
YPS,362,0,0.00,217,23.01,23.25,362,0
IEME,360,6,41.30,20,34.97,37.19,360,0
EAOA,346,0,0.00,0,0.00,33.30,346,0
VFMO,344,0,0.00,2,112.00,128.92,344,0
GSUS,337,0,0.00,0,0.00,58.78,337,0
FAIL,326,0,0.00,500,21.06,23.23,326,0
AESR,325,0,0.00,99,11.99,13.30,325,0
IBMO,317,0,0.00,0,0.00,26.99,317,0
FLBL,313,0,0.00,0,0.00,25.10,313,0
FYLD,310,0,0.00,1,28.45,28.98,310,0
HEEM,303,0,0.00,0,0.00,32.65,303,0
BBSA,301,0,0.00,0,0.00,51.76,301,0
KNGS,290,100,39.00,20,24.82,27.50,290,0
TMAT,282,0,0.00,0,0.00,23.31,282,0
IMOM,274,0,0.00,0,0.00,34.66,274,0
XSHD,274,0,0.00,0,0.00,24.23,274,0
IEDI,263,4,49.00,0,0.00,42.91,263,0
WDNA,258,0,0.00,98,25.00,25.00,258,0
FNOV,257,0,0.00,0,0.00,37.44,257,0
IBMQ,255,0,0.00,0,0.00,27.47,255,0
VFLQ,251,1,123.00,0,0.00,111.46,251,0
WLDR,248,0,0.00,0,0.00,27.46,248,0
VWID,245,0,0.00,0,0.00,30.75,0,245
PWS,241,0,0.00,0,0.00,32.77,241,0
FIBR,236,0,0.00,0,0.00,100.05,236,0
EWGS,233,0,0.00,0,0.00,83.26,233,0
HELX,217,200,53.52,0,0.00,45.75,217,0
ICOW,208,0,0.00,1,32.89,33.69,208,0
USMF,207,0,0.00,5,37.00,39.31,207,0
SULR,205,72,33.00,200,29.35,31.27,205,0
HCRB,201,0,0.00,0,0.00,40.91,201,0
FFTI,200,0,0.00,0,0.00,24.03,200,0
PSMR,200,0,0.00,0,0.00,21.29,200,0
QLC,200,0,0.00,10,45.26,46.72,200,0
UOCT,198,0,0.00,0,0.00,27.59,198,0
PMAR,188,0,0.00,0,0.00,30.29,188,0
QTAP,175,0,0.00,0,0.00,27.39,175,0
RDFI,175,0,0.00,0,0.00,29.66,175,0
PSMC,173,0,0.00,0,0.00,13.80,173,0
BJUL,161,0,0.00,0,0.00,31.33,161,0
LYFE,161,0,0.00,300,29.06,30.15,161,0
DUSA,150,3,37.00,5,34.00,35.39,150,0
FLDR,141,0,0.00,0,0.00,50.83,141,0
IVRA,136,0,0.00,0,0.00,14.56,132,4
HYXU,134,0,0.00,0,0.00,57.02,134,0
EUCG,133,0,0.00,0,0.00,27.88,133,0
IAUF,128,5,57.75,85,56.00,56.16,127,1
LQDI,127,0,0.00,28,26.75,29.40,127,0
ESG,123,0,0.00,1,102.50,103.39,123,0
FFSG,120,0,0.00,0,0.00,35.99,120,0
IVSG,113,30,500.00,0,0.00,13.23,113,0
IVDG,111,90,12.32,0,0.00,12.21,111,0
VFMF,110,0,0.00,0,0.00,100.94,110,0
TFJL,106,0,0.00,0,0.00,23.45,106,0
ADFI,104,0,0.00,3,3.67,9.71,104,0
LIV,104,0,0.00,0,0.00,26.26,104,0
BOCT,103,0,0.00,0,0.00,32.02,103,0
MRGR,103,0,0.00,0,0.00,40.85,103,0
CSM,102,0,0.00,0,0.00,97.60,102,0
GOAT,102,0,0.00,0,0.00,39.34,2,100
NJAN,102,0,0.00,0,0.00,40.08,102,0
QCON,102,0,0.00,1,39.83,46.60,102,0
DNOV,101,0,0.00,0,0.00,34.51,101,0
AVDG,100,0,0.00,5,28.00,29.00,100,0
DFND,100,500,37.00,2,36.00,36.80,100,0
FEBZ,100,0,0.00,0,0.00,27.25,100,0
FFTG,100,0,0.00,0,0.00,30.77,100,0
IBHF,100,0,0.00,0,0.00,25.60,100,0
JUNZ,100,0,0.00,0,0.00,25.13,100,0
PLTL,100,0,0.00,0,0.00,25.85,100,0
QPFF,100,0,0.00,0,0.00,41.26,100,0
RESD,100,0,0.00,0,0.00,32.10,100,0
WFHY,97,0,0.00,300,52.25,52.50,97,0
EAOK,86,0,0.00,0,0.00,27.62,86,0
SFIG,78,0,0.00,0,0.00,51.62,78,0
IBHA,71,0,0.00,25,23.48,24.10,71,0
PSMM,69,0,0.00,1,15.26,15.36,69,0
KJAN,64,0,0.00,0,0.00,31.20,64,0
IEIH,61,0,0.00,3,33.71,34.29,61,0
LEAD,58,0,0.00,0,0.00,52.40,58,0
MAYZ,57,0,0.00,0,0.00,25.22,57,0
UDEC,56,0,0.00,0,0.00,29.36,56,0
HYMU,53,0,0.00,1,26.25,26.49,53,0
SFHY,40,0,0.00,100,49.30,49.90,40,0
VFQY,36,0,0.00,0,0.00,117.65,36,0
EURZ,30,0,0.00,10,26.00,28.45,30,0
ALTS,28,0,0.00,0,0.00,40.05,28,0
PEX,27,100,38.80,0,0.00,38.49,26,1
FLQS,20,0,0.00,0,0.00,38.16,20,0
WFIG,18,0,0.00,0,0.00,54.06,18,0
IVLC,17,0,0.00,5,13.42,13.48,17,0
PSFF,17,0,0.00,0,0.00,21.91,17,0
RODE,15,0,0.00,0,0.00,30.04,15,0
STLG,15,0,0.00,0,0.00,34.79,15,0
ESEB,14,0,0.00,0,0.00,21.66,14,0
PBDM,10,0,0.00,0,0.00,30.49,10,0
VMOT,10,0,0.00,0,0.00,27.50,10,0
AFIF,9,0,0.00,0,0.00,9.71,9,0
FDEM,9,0,0.00,0,0.00,28.23,9,0
DDEC,8,0,0.00,0,0.00,31.77,8,0
EMDV,8,0,0.00,45,57.99,61.10,8,0
